
*****단어/개수 분석결과*****

value = i                   	count = 16
value = to                  	count = 15
value = and                 	count = 14
value = the                 	count = 12
value = a                   	count = 11
value = my                  	count = 7
value = of                  	count = 7
value = in                  	count = 6
value = have                	count = 5
value = am                  	count = 5
value = as                  	count = 5
value = with                	count = 5
value = for                 	count = 4
value = skills              	count = 4
value = able                	count = 3
value = engineering         	count = 3
value = an                  	count = 3
value = which               	count = 3
value = software            	count = 3
value = university          	count = 3
value = team                	count = 3
value = c                   	count = 2
value = develop             	count = 2
value = would               	count = 2
value = position            	count = 2
value = new                 	count = 2
value = students            	count = 2
value = computer            	count = 2
value = linux               	count = 2
value = was                 	count = 2
value = systems             	count = 2
value = many                	count = 2
value = member              	count = 2
value = assistant           	count = 2
value = me                  	count = 2
value = developed           	count = 2
value = from                	count = 2
value = also                	count = 2
value = lab                 	count = 2
value = management          	count = 2
value = enhancements        	count = 1
value = copy                	count = 1
value = corp                	count = 1
value = questions           	count = 1
value = departmental        	count = 1
value = dear                	count = 1
value = reach               	count = 1
value = internship          	count = 1
value = like                	count = 1
value = serving             	count = 1
value = handled             	count = 1
value = keen                	count = 1
value = different           	count = 1
value = participated        	count = 1
value = presentation        	count = 1
value = interact            	count = 1
value = site                	count = 1
value = serves              	count = 1
value = enterprise          	count = 1
value = hong                	count = 1
value = influenced          	count = 1
value = leadership          	count = 1
value = java                	count = 1
value = product             	count = 1
value = moreover            	count = 1
value = presentations       	count = 1
value = guess               	count = 1
value = objectives          	count = 1
value = apply               	count = 1
value = computer　engineering	count = 1
value = organised           	count = 1
value = highest             	count = 1
value = open                	count = 1
value = given               	count = 1
value = group               	count = 1
value = tested              	count = 1
value = completing          	count = 1
value = prototype           	count = 1
value = members             	count = 1
value = took                	count = 1
value = tool                	count = 1
value = that                	count = 1
value = aims                	count = 1
value = off                 	count = 1
value = them                	count = 1
value = ensuring            	count = 1
value = this                	count = 1
value = verbal              	count = 1
value = candidate           	count = 1
value = public              	count = 1
value = had                 	count = 1
value = suited              	count = 1
value = our                 	count = 1
value = dongguk             	count = 1
value = study               	count = 1
value = at                  	count = 1
value = by                  	count = 1
value = cv                  	count = 1
value = delegating          	count = 1
value = always              	count = 1
value = distributed         	count = 1
value = is                  	count = 1
value = role                	count = 1
value = ko                  	count = 1
value = mr                  	count = 1
value = complete            	count = 1
value = hys                 	count = 1
value = alg                 	count = 1
value = all                 	count = 1
value = written             	count = 1
value = so                  	count = 1
value = contribute          	count = 1
value = any                 	count = 1
value = modeling            	count = 1
value = science             	count = 1
value = challenge           	count = 1
value = corporation         	count = 1
value = system              	count = 1
value = graduate            	count = 1
value = yours               	count = 1
value = situations          	count = 1
value = administrator       	count = 1
value = both                	count = 1
value = unix                	count = 1
value = faculty             	count = 1
value = appropriate         	count = 1
value = strive              	count = 1
value = supported           	count = 1
value = efficient           	count = 1
value = standard            	count = 1
value = programs            	count = 1
value = solutions           	count = 1
value = tools               	count = 1
value = interest            	count = 1
value = job                 	count = 1
value = extension           	count = 1
value = bachelor            	count = 1
value = decision            	count = 1
value = you                 	count = 1
value = good                	count = 1
value = assisted            	count = 1
value = part                	count = 1
value = html/internet       	count = 1
value = communication       	count = 1
value = levels              	count = 1
value = attached            	count = 1
value = proficient          	count = 1
value = organization        	count = 1
value = variety             	count = 1
value = through             	count = 1
value = roles               	count = 1
value = forward             	count = 1
value = speaking            	count = 1
value = internally          	count = 1
value = successfully        	count = 1
value = ashley              	count = 1
value = enhancement         	count = 1
value = department          	count = 1
value = look                	count = 1
value = hearing             	count = 1
value = programming         	count = 1
value = feel                	count = 1
value = each                	count = 1
value = lovingly            	count = 1
value = allow               	count = 1
value = prospective         	count = 1
value = responsibilities    	count = 1
